STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/9/2001,79,91,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/10/2001,81,93,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/11/2001,69,78,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/12/2001,69,80,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/13/2001,68,79,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/14/2001,74,87,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/15/2001,74,88,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/16/2001,75,86,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/17/2001,79,86,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/18/2001,78,85,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/19/2001,77,88,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/20/2001,82,93,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/21/2001,83,93,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/22/2001,82,95,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/23/2001,83,92,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/24/2001,79,90,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/25/2001,71,75,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/26/2001,73,78,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/27/2001,71,78,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/28/2001,72,78,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/29/2001,78,90,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/30/2001,80,90,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/31/2001,83,94,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/1/2001,84,92,76
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/2/2001,79,84,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/3/2001,75,84,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/4/2001,76,87,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/5/2001,76,89,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/6/2001,81,92,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/7/2001,85,95,75
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/8/2001,85,93,76
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/9/2001,84,95,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/10/2001,70,77,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/11/2001,69,77,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/12/2001,72,84,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/13/2001,67,75,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/14/2001,66,75,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/15/2001,67,77,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/16/2001,68,70,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/17/2001,70,78,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/18/2001,66,70,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/19/2001,68,73,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/20/2001,69,79,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/21/2001,72,81,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/22/2001,77,86,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/23/2001,72,74,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/24/2001,74,80,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/25/2001,74,79,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/26/2001,75,84,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/27/2001,74,84,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/28/2001,68,78,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/29/2001,69,82,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/30/2001,77,85,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/31/2001,68,75,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/1/2001,60,67,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/2/2001,64,78,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/3/2001,74,85,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/4/2001,67,75,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/5/2001,66,78,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/6/2001,73,85,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/7/2001,78,87,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/8/2001,72,81,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/9/2001,64,72,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/10/2001,65,77,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/11/2001,64,78,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/12/2001,69,82,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/13/2001,63,68,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/14/2001,59,63,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/15/2001,58,66,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/16/2001,60,71,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/17/2001,59,65,52
